Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
PO,Polônio,84,6,16,Sólido
AT,Astato,85,6,17,Sólido
RN,Radônio,86,6,18,Gás
FR,Frâncio,87,7,1,Sólido
RA,Rádio,88,7,2,Sólido
AC,Actínio,89,6,3,Sólido
TH,Tório,90,6,3,Sólido
PA,Protactínio,91,6,3,Sólido
U,Urânio,92,6,3,Sólido
NP,Netúnio,93,6,3,Sólido
PU,Plutônio,94,6,3,Sólido
AM,Amerício,95,6,3,Sólido
CM,Cúrio,96,6,3,Sólido
BK,Berquélio,97,6,3,Sólido
CF,Califórnio,98,6,3,Sólido
ES,Einstéinio,99,6,3,Sólido
FM,Férmio,100,6,3,Sólido
MD,Mendelévio,101,6,3,Sólido
NO,Nobélio,102,6,3,Sólido
LR,Laurêncio,103,6,3,Sólido
RF,Rutherfórdio,104,7,4,Desconhecido
DB,Dúbnio,105,7,5,Desconhecido
SG,Seabórgio,106,7,6,Desconhecido
BH,Bóhrio,107,7,7,Desconhecido
HS,Hássio,108,7,8,Desconhecido
MT,Meitnério,109,7,9,Desconhecido
DS,Darmstadtio,110,7,10,Desconhecido
RG,Roentgênio,111,7,11,Desconhecido
CN,Copernício,112,7,12,Desconhecido
NH,Ninhônio,113,7,13,Desconhecido
FL,Fleróvio,114,7,14,Desconhecido
MC,Moscóvio,115,7,15,Desconhecido
LV,Livermório,116,7,16,Desconhecido
TS,Tenessino,117,7,17,Desconhecido
OG,Oganosseno,118,7,18,Desconhecido
OG,Oganosseno,118,7,18,Desconhecido